Number,Type,Name,Registration Point,Filename
724,bitmap,41618,"(211, 142)",
725,bitmap,41620,"(211, 142)",
726,bitmap,41621,"(211, 142)",
727,bitmap,41622,"(203, 137)",
728,bitmap,41623,"(211, 142)",
729,bitmap,41624,"(211, 142)",
730,bitmap,41625,"(203, 137)",
731,bitmap,41626,"(203, 137)",
732,bitmap,41627,"(212, 142)",
733,bitmap,41764,"(214, 142)",
734,bitmap,41765,"(214, 142)",
735,bitmap,41766,"(205, 137)",
736,bitmap,41767,"(205, 137)",
737,bitmap,41768,"(182, 137)",
738,bitmap,41769,"(190, 142)",
739,bitmap,41770,"(182, 137)",
740,bitmap,41772,"(205, 137)",
741,bitmap,41773,"(205, 137)",
742,bitmap,41774,"(205, 137)",
743,bitmap,41777,"(205, 137)",
744,bitmap,41778,"(214, 142)",
745,bitmap,41779,"(205, 137)",
746,bitmap,41781,"(214, 142)",
747,bitmap,41782,"(214, 142)",
748,bitmap,41783,"(205, 137)",
749,bitmap,41784,"(205, 137)",
750,bitmap,41785,"(205, 137)",
751,bitmap,41786,"(205, 137)",
752,bitmap,41787,"(205, 137)",
753,bitmap,41788,"(214, 142)",
754,bitmap,41789,"(214, 142)",
755,bitmap,41790,"(214, 142)",
756,bitmap,41791,"(205, 137)",
757,bitmap,41792,"(205, 137)",
758,bitmap,41793,"(205, 137)",
759,bitmap,41794,"(205, 137)",
760,bitmap,41795,"(205, 137)",
761,bitmap,41796,"(205, 137)",
762,bitmap,41797,"(205, 137)",
763,bitmap,41798,"(214, 142)",
764,bitmap,41799,"(205, 137)",
765,bitmap,41800,"(205, 137)",
766,bitmap,41801,"(214, 142)",
767,bitmap,41802,"(205, 137)",
768,bitmap,5.02,"(50, 35)",
769,bitmap,5.07,"(50, 20)",
770,bitmap,5.09,"(50, 50)",
771,bitmap,50004,"(182, 137)",
772,bitmap,50005,"(182, 137)",
773,bitmap,50007,"(182, 137)",
774,bitmap,50008,"(182, 137)",
775,bitmap,50009,"(182, 137)",
776,bitmap,50011,"(206, 137)",
777,bitmap,50012,"(206, 137)",
778,bitmap,50013,"(206, 137)",
779,bitmap,50015,"(182, 137)",
780,bitmap,50016,"(182, 137)",
781,bitmap,50017,"(182, 136)",
782,bitmap,50019,"(182, 137)",
783,bitmap,50054,"(205, 137)",
784,bitmap,50056,"(202, 137)",
785,bitmap,50068,"(210, 141)",
786,bitmap,50189,"(205, 137)",
787,bitmap,50190,"(205, 137)",
788,bitmap,50191,"(205, 137)",
789,bitmap,6.01,"(50, 30)",
790,bitmap,6.02,"(50, 30)",
791,bitmap,6.09,"(50, 30)",
792,bitmap,6.16,"(50, 30)",
793,bitmap,6.17,"(50, 30)",
794,bitmap,6.22,"(50, 30)",
