Number,Type,Name,Registration Point,Filename
162,bitmap,20284,"(205, 137)",
163,bitmap,20290,"(205, 137)",
164,bitmap,20291,"(205, 137)",
165,bitmap,20298,"(205, 137)",
166,bitmap,20306,"(205, 137)",
167,bitmap,20309,"(205, 137)",
168,bitmap,20321,"(205, 137)",
169,bitmap,20322,"(205, 137)",
170,bitmap,20328,"(205, 137)",
171,bitmap,20331,"(205, 137)",
172,bitmap,21129,"(205, 137)",
173,bitmap,21208,"(172, 137)",
174,bitmap,21209,"(205, 137)",
175,bitmap,21210,"(205, 137)",
176,bitmap,21211,"(205, 137)",
177,bitmap,21212,"(206, 137)",
178,bitmap,21213,"(209, 137)",
179,bitmap,21214,"(206, 137)",
180,bitmap,25001,"(205, 137)",
181,bitmap,25002,"(203, 137)",
182,bitmap,25003,"(205, 137)",
183,bitmap,25005,"(205, 137)",
184,bitmap,25006,"(205, 137)",
185,bitmap,25007,"(205, 137)",
186,bitmap,25008,"(205, 137)",
187,bitmap,25009,"(205, 137)",
188,bitmap,25011,"(205, 137)",
189,bitmap,25012,"(205, 137)",
190,bitmap,25013,"(205, 137)",
191,bitmap,25014,"(205, 137)",
192,bitmap,25015,"(205, 137)",
193,bitmap,25016,"(205, 137)",
194,bitmap,25017,"(205, 137)",
195,bitmap,25018,"(201, 137)",
196,bitmap,25019,"(206, 137)",
197,bitmap,25020,"(205, 137)",
198,bitmap,25021,"(205, 137)",
199,bitmap,25022,"(203, 137)",
200,bitmap,25023,"(203, 137)",
201,bitmap,25024,"(203, 137)",
202,bitmap,25025,"(203, 137)",
203,bitmap,25027,"(205, 137)",
204,bitmap,25029,"(205, 137)",
205,bitmap,25030,"(205, 137)",
206,bitmap,25031,"(205, 137)",
207,bitmap,25032,"(205, 137)",
208,bitmap,25033,"(205, 137)",
209,bitmap,25034,"(205, 137)",
210,bitmap,25035,"(206, 137)",
211,bitmap,25036,"(206, 137)",
212,bitmap,25037,"(182, 137)",
213,bitmap,25038,"(182, 137)",
214,bitmap,25039,"(182, 137)",
215,bitmap,25040,"(182, 137)",
216,bitmap,25041,"(182, 137)",
217,bitmap,25042,"(182, 137)",
218,bitmap,25043,"(182, 137)",
219,bitmap,25044,"(182, 137)",
220,bitmap,25045,"(182, 137)",
221,bitmap,25046,"(182, 137)",
222,bitmap,25047,"(182, 137)",
223,bitmap,25048,"(182, 137)",
224,bitmap,25049,"(182, 137)",
225,bitmap,25050,"(205, 137)",
226,bitmap,25051,"(205, 137)",
227,bitmap,25052,"(205, 137)",
228,bitmap,25053,"(205, 137)",
229,bitmap,25054,"(182, 137)",
230,bitmap,25056,"(205, 137)",
231,bitmap,25057,"(205, 137)",
232,bitmap,25058,"(205, 137)",
233,bitmap,25076,"(205, 137)",
234,bitmap,3.03,"(50, 50)",
235,bitmap,3.04,"(50, 50)",
236,bitmap,3.05,"(50, 44)",
237,bitmap,3.06,"(50, 44)",
238,bitmap,3.07,"(50, 44)",
239,bitmap,3.09,"(50, 50)",
240,bitmap,3.10,"(50, 50)",
241,bitmap,3.20,"(50, 44)",
242,bitmap,3.23,"(50, 38)",
243,bitmap,30001,"(185, 137)",
244,bitmap,30002,"(210, 142)",
245,bitmap,30003,"(185, 137)",
246,bitmap,30004,"(210, 141)",
247,bitmap,30005,"(184, 137)",
248,bitmap,30006,"(202, 137)",
249,bitmap,30007,"(202, 137)",
250,bitmap,30008,"(192, 137)",
251,bitmap,30009,"(210, 142)",
252,bitmap,30010,"(210, 142)",
253,bitmap,30011,"(210, 142)",
254,bitmap,30012,"(210, 142)",
255,bitmap,30013,"(213, 137)",
256,bitmap,30014,"(186, 137)",
257,bitmap,30015,"(192, 137)",
258,bitmap,30016,"(210, 142)",
259,bitmap,30017,"(185, 137)",
260,bitmap,30018,"(210, 142)",
261,bitmap,30019,"(154, 137)",
262,bitmap,30020,"(202, 137)",
263,bitmap,30022,"(210, 141)",
264,bitmap,30023,"(210, 141)",
265,bitmap,30024,"(154, 137)",
266,bitmap,30025,"(210, 142)",
267,bitmap,30026,"(210, 142)",
268,bitmap,30027,"(210, 142)",
269,bitmap,30028,"(202, 137)",
270,bitmap,30029,"(202, 137)",
271,bitmap,30030,"(210, 142)",
272,bitmap,30031,"(154, 137)",
273,bitmap,30032,"(202, 137)",
274,bitmap,30033,"(210, 142)",
275,bitmap,30034,"(210, 142)",
276,bitmap,30035,"(202, 137)",
277,bitmap,30036,"(241, 137)",
278,bitmap,30037,"(210, 142)",
279,bitmap,30038,"(210, 142)",
280,bitmap,30039,"(210, 142)",
281,bitmap,30040,"(210, 142)",
282,bitmap,30041,"(154, 137)",
283,bitmap,30042,"(210, 142)",
284,bitmap,30043,"(210, 141)",
285,bitmap,30044,"(210, 141)",
286,bitmap,30045,"(210, 142)",
287,bitmap,30046,"(210, 142)",
288,bitmap,30047,"(210, 142)",
289,bitmap,30048,"(184, 137)",
290,bitmap,30049,"(210, 141)",
291,bitmap,30050,"(202, 137)",
292,bitmap,30051,"(210, 142)",
293,bitmap,30052,"(210, 142)",
294,bitmap,30053,"(210, 142)",
295,bitmap,30054,"(185, 137)",
296,bitmap,30055,"(210, 141)",
297,bitmap,30056,"(210, 142)",
298,bitmap,30057,"(210, 142)",
299,bitmap,30058,"(190, 137)",
300,bitmap,30059,"(192, 137)",
301,bitmap,30060,"(210, 142)",
302,bitmap,30061,"(210, 142)",
303,bitmap,30062,"(202, 137)",
304,bitmap,30063,"(210, 142)",
305,bitmap,30064,"(210, 141)",
306,bitmap,30065,"(210, 142)",
307,bitmap,30066,"(202, 137)",
308,bitmap,30067,"(192, 137)",
309,bitmap,30068,"(210, 142)",
310,bitmap,30069,"(210, 142)",
311,bitmap,30070,"(202, 137)",
312,bitmap,30071,"(210, 142)",
313,bitmap,30072,"(190, 137)",
314,bitmap,30073,"(210, 142)",
315,bitmap,30074,"(210, 142)",
316,bitmap,30075,"(210, 142)",
